day,model,number_of_transactions,buy_transactions,sell_transactions,buy_turnover,sell_turnover,total_turnover,total_cost_points,total_cost_vnd,daily_net_pnl_points,daily_net_return
2026-04-22,decoder_tft,12,8,4,8.0,8.0,16.0,4.6491668,464916.68000000005,172.05083320000006,0.0854028595158584
2026-04-23,decoder_tft,10,4,6,7.0,7.0,14.0,4.08230368,408230.368,-55.782303680000275,-0.0274199970272888
2026-04-24,decoder_tft,4,2,2,2.0,2.0,4.0,1.1592471199999999,115924.712,-10.859247119999818,-0.005376367632147293
2026-04-28,decoder_tft,10,4,6,6.0,6.0,12.0,3.4946136,349461.36,5.105386399999913,0.00255310727132747
2026-04-29,decoder_tft,5,2,3,3.0,3.0,6.0,1.75087344,175087.344,-4.550873439999955,-0.0022393830535145567
2026-05-04,decoder_tft,11,5,6,7.0,7.0,14.0,4.083394,408339.4,-12.883394000000177,-0.006298866456905
2026-05-05,decoder_tft,12,8,4,8.0,8.0,16.0,4.65426728,465426.728,34.345732720000456,0.016909246554334054
2026-05-06,decoder_tft,11,5,6,8.0,8.0,16.0,4.69817576,469817.576,15.701824240000551,0.007641953300544509
2026-05-07,decoder_tft,13,5,8,8.0,8.0,16.0,4.73301056,473301.056,-27.43301055999982,-0.013162798450797021
2026-05-08,decoder_tft,10,6,4,6.0,6.0,12.0,3.54698592,354698.592,-29.446985920000547,-0.01420583560877656
