day,timestamp,model,window,action,side,position_before,position_after,position_delta,buy_units,sell_units,turnover,close,buy_cost_vnd,sell_fixed_cost_vnd,sell_tax_cost_vnd,cost_vnd,cost_points,bar_net_pnl_points,net_return
2026-04-22,2026-04-22 09:05:00,decoder_tft,wf_10_2026-01-01_2026-05-11,open_short,sell,0.0,-2.0,-2.0,0.0,2.0,2.0,2001.7,0.0,20800.0,73982.83200000001,94782.83200000001,0.9478283200000001,-0.94782832,-0.0004735116750761
2026-04-22,2026-04-22 09:10:00,decoder_tft,wf_10_2026-01-01_2026-05-11,reduce_short,buy,-2.0,-1.0,1.0,1.0,0.0,1.0,2002.7,10400.0,0.0,0.0,10400.0,0.104,-2.104,-0.0010510806165285
2026-04-22,2026-04-22 09:15:00,decoder_tft,wf_10_2026-01-01_2026-05-11,increase_short,sell,-1.0,-2.0,-1.0,0.0,1.0,1.0,2002.0,0.0,10400.0,36996.96,47396.96,0.4739696,0.2260304000000454,0.000112780085067
2026-04-22,2026-04-22 10:55:00,decoder_tft,wf_10_2026-01-01_2026-05-11,increase_short,sell,-2.0,-3.0,-1.0,0.0,1.0,1.0,1988.1,0.0,10400.0,36740.087999999996,47140.087999999996,0.47140087999999997,2.52859912,0.0012707295200652
2026-04-22,2026-04-22 13:00:00,decoder_tft,wf_10_2026-01-01_2026-05-11,reduce_short,buy,-3.0,-2.0,1.0,1.0,0.0,1.0,1987.0,10400.0,0.0,0.0,10400.0,0.104,-2.2040000000001365,-0.001109582319817
2026-04-22,2026-04-22 13:10:00,decoder_tft,wf_10_2026-01-01_2026-05-11,reduce_short,buy,-2.0,-1.0,1.0,1.0,0.0,1.0,1990.8,10400.0,0.0,0.0,10400.0,0.104,-6.303999999999818,-0.0031714232807027
2026-04-22,2026-04-22 13:15:00,decoder_tft,wf_10_2026-01-01_2026-05-11,close_short,buy,-1.0,0.0,1.0,1.0,0.0,1.0,1993.0,10400.0,0.0,0.0,10400.0,0.104,-2.3040000000000456,-0.0011572660228017
2026-04-22,2026-04-22 13:20:00,decoder_tft,wf_10_2026-01-01_2026-05-11,open_long,buy,0.0,1.0,1.0,1.0,0.0,1.0,1994.3,10400.0,0.0,0.0,10400.0,0.104,-0.104,-5.2148623577195e-05
2026-04-22,2026-04-22 13:25:00,decoder_tft,wf_10_2026-01-01_2026-05-11,increase_long,buy,1.0,2.0,1.0,1.0,0.0,1.0,1998.0,10400.0,0.0,0.0,10400.0,0.104,3.5960000000000454,0.0018032355175211
2026-04-22,2026-04-22 13:30:00,decoder_tft,wf_10_2026-01-01_2026-05-11,increase_long,buy,2.0,3.0,1.0,1.0,0.0,1.0,2004.1,10400.0,0.0,0.0,10400.0,0.104,12.09599999999982,0.0060542124880231
2026-04-22,2026-04-22 13:40:00,decoder_tft,wf_10_2026-01-01_2026-05-11,increase_long,buy,3.0,4.0,1.0,1.0,0.0,1.0,2006.9,10400.0,0.0,0.0,10400.0,0.104,5.596000000000273,0.0027910715512776
2026-04-22,2026-04-22 14:30:00,decoder_tft,wf_10_2026-01-01_2026-05-11,close_long,sell,4.0,0.0,-4.0,0.0,4.0,4.0,2040.0,0.0,41600.0,150796.80000000002,192396.80000000002,1.9239680000000001,-7.523968000000364,-0.0036863370090118
2026-04-23,2026-04-23 09:05:00,decoder_tft,wf_10_2026-01-01_2026-05-11,open_long,buy,0.0,4.0,4.0,4.0,0.0,4.0,2045.2,41600.0,0.0,0.0,41600.0,0.416,-0.416,-0.0002034030901623
2026-04-23,2026-04-23 09:15:00,decoder_tft,wf_10_2026-01-01_2026-05-11,reduce_long,sell,4.0,3.0,-1.0,0.0,1.0,1.0,2037.3,0.0,10400.0,37649.304,48049.304,0.48049304,-8.080493040000365,-0.0039627997014105
2026-04-23,2026-04-23 09:40:00,decoder_tft,wf_10_2026-01-01_2026-05-11,reduce_long,sell,3.0,2.0,-1.0,0.0,1.0,1.0,2037.3,0.0,10400.0,37649.304,48049.304,0.48049304,-13.680493040000274,-0.0067010485237816
2026-04-23,2026-04-23 10:05:00,decoder_tft,wf_10_2026-01-01_2026-05-11,reduce_long,sell,2.0,1.0,-1.0,0.0,1.0,1.0,2037.5,0.0,10400.0,37653.0,48053.0,0.48053,2.119469999999909,0.0010410453765976
2026-04-23,2026-04-23 10:10:00,decoder_tft,wf_10_2026-01-01_2026-05-11,increase_long,buy,1.0,2.0,1.0,1.0,0.0,1.0,2043.6,10400.0,0.0,0.0,10400.0,0.104,5.995999999999909,0.0029429744454331
2026-04-23,2026-04-23 10:25:00,decoder_tft,wf_10_2026-01-01_2026-05-11,reduce_long,sell,2.0,1.0,-1.0,0.0,1.0,1.0,2037.1,0.0,10400.0,37645.608,48045.608,0.48045608,-4.880456080000091,-0.0023934560665563
2026-04-23,2026-04-23 10:35:00,decoder_tft,wf_10_2026-01-01_2026-05-11,close_long,sell,1.0,0.0,-1.0,0.0,1.0,1.0,2029.0,0.0,10400.0,37495.92,47895.92,0.4789592,-9.778959199999957,-0.0047986824942469
2026-04-23,2026-04-23 13:20:00,decoder_tft,wf_10_2026-01-01_2026-05-11,open_short,sell,0.0,-2.0,-2.0,0.0,2.0,2.0,2016.7,0.0,20800.0,74537.232,95337.232,0.95337232,-0.95337232,-0.0004727387910943
2026-04-23,2026-04-23 14:20:00,decoder_tft,wf_10_2026-01-01_2026-05-11,reduce_short,buy,-2.0,-1.0,1.0,1.0,0.0,1.0,2015.0,10400.0,0.0,0.0,10400.0,0.104,-6.904000000000182,-0.0034320066196705
2026-04-23,2026-04-23 14:30:00,decoder_tft,wf_10_2026-01-01_2026-05-11,close_short,buy,-1.0,0.0,1.0,1.0,0.0,1.0,2023.9,10400.0,0.0,0.0,10400.0,0.104,-5.004000000000091,-0.0024783299697392
