split,test_group_ids,test_start,test_end,train_rows,valid_rows,test_rows,purged_rows,embargoed_rows
cpcv_1_2,"1,2",2017-11-07 14:15:00,2019-12-18 14:45:00,63307,15863,26466,159,96
cpcv_1_4,"1,4",2017-11-07 14:15:00,2022-02-09 14:45:00,63171,15813,26445,159,96
cpcv_1_6,"1,6",2017-11-07 14:15:00,2024-03-22 14:45:00,63148,15813,26468,159,96
cpcv_2_3,"2,3",2018-11-27 09:05:00,2021-01-12 14:45:00,63289,15813,26375,318,96
cpcv_2_5,"2,5",2018-11-27 09:05:00,2023-03-02 14:45:00,63012,15763,26495,318,96
cpcv_2_8,"2,8",2018-11-27 09:05:00,2026-05-11 13:35:00,63065,15841,26412,318,48
cpcv_3_5,"3,5",2019-12-19 09:05:00,2023-03-02 14:45:00,63127,15763,26380,318,96
cpcv_3_8,"3,8",2019-12-19 09:05:00,2026-05-11 13:35:00,63180,15841,26297,318,48
cpcv_4_6,"4,6",2021-01-13 09:10:00,2024-03-22 14:45:00,63036,15763,26471,318,96
cpcv_5_6,"5,6",2022-02-10 09:05:00,2024-03-22 14:45:00,63167,15813,26497,318,96
cpcv_5_8,"5,8",2022-02-10 09:05:00,2026-05-11 13:35:00,63060,15841,26417,318,48
cpcv_7_8,"7,8",2024-03-25 09:05:00,2026-05-11 13:35:00,63320,15838,26367,318,48
