model,number_of_trades,turnover,average_net_pnl_points,percentage_time_long,percentage_time_short,percentage_time_flat
decoder_tft,41140,5295.84021168947,0.01268165388028293,0.33049307165129815,0.28555468476430274,0.3839522435843991
decoder_transformer,46225,8874.038143053649,0.0034741581801831026,0.38431908755898686,0.2818362208400727,0.33384469160094044
ema_cross_16_48,4450,4450.0,-0.0022172442847376386,0.49949142085341247,0.4365443297593837,0.06396424938720381
ema_cross_32_96,3372,3372.0,0.017015760043354304,0.5332077170632472,0.4159010188257658,0.050891264110986975
ema_cross_8_24,6438,6438.0,0.006453020735355374,0.47664704607226827,0.4389121408680862,0.0844408130596455
long_only,2400,2400.0,-0.011702028653849303,0.9596471627953511,0.0,0.04035283720464891
lstm_dmn,6992,400.80066432803835,0.0015341491245529765,0.08457421086858648,0.02114355271714662,0.8942822364142669
macd_16_48,4450,4450.0,-0.0022172442847376386,0.49949142085341247,0.4365443297593837,0.06396424938720381
macd_32_96,3372,3372.0,0.017015760043354304,0.5332077170632472,0.4159010188257658,0.050891264110986975
macd_8_24,6438,6438.0,0.006453020735355374,0.47664704607226827,0.4389121408680862,0.0844408130596455
tsmom_12,13600,13600.0,-0.005548664886028139,0.4277567490953961,0.4187023728135265,0.15354087809107736
tsmom_24,10416,10416.0,-0.017795561732170586,0.4452485367927832,0.4311583932233913,0.12359306998382552
tsmom_48,6708,6708.0,-0.008881094074802684,0.47296193160027344,0.43214220206433107,0.09489586633539544
tsmom_78,5832,5832.0,-0.0007336787413917038,0.4997582164712945,0.42237081255940373,0.07787097096930183
