model,number_of_trades,turnover,average_net_pnl_points,percentage_time_long,percentage_time_short,percentage_time_flat
decoder_tft,13266,16824.0,0.039652813607910904,0.26867986193326776,0.33772990278634674,0.3935902352803855
decoder_transformer,18926,24874.0,0.029721109696353304,0.35907355221690485,0.23272915242367145,0.40819729535942373
ema_cross_16_48,4450,22250.0,-0.03467015007253513,0.49949142085341247,0.4365443297593837,0.06396424938720381
ema_cross_32_96,3372,16860.0,0.06716515408447424,0.5332077170632472,0.4159010188257658,0.050891264110986975
ema_cross_8_24,6438,32190.0,-0.0019225781594439612,0.47664704607226827,0.4389121408680862,0.0844408130596455
long_only,2400,12000.0,-0.07125650070867556,0.9596471627953511,0.0,0.04035283720464891
lstm_dmn,1668,1846.0,0.002334137993363494,0.08964332760834404,0.012972936919511097,0.8973837354721449
macd_16_48,4450,22250.0,-0.03467015007253513,0.49949142085341247,0.4365443297593837,0.06396424938720381
macd_32_96,3372,16860.0,0.06716515408447424,0.5332077170632472,0.4159010188257658,0.050891264110986975
macd_8_24,6438,32190.0,-0.0019225781594439612,0.47664704607226827,0.4389121408680862,0.0844408130596455
tsmom_12,13600,68000.0,-0.09991645660068978,0.4277567490953961,0.4187023728135265,0.15354087809107736
tsmom_24,10416,52080.0,-0.14414227420586637,0.4452485367927832,0.4311583932233913,0.12359306998382552
tsmom_48,6708,33540.0,-0.08012074048456684,0.47296193160027344,0.43214220206433107,0.09489586633539544
tsmom_78,5832,29160.0,-0.034530931250104355,0.4997582164712945,0.42237081255940373,0.07787097096930183
